id,timestamp,version,changeset,user,uid,tags,object_type,member_osmid,member_role,osmid,name,type,route,power,voltage,substation,line,circuits,cables,wires,operator,operator:wikidata,location,note,wikidata
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855905,line,relation/4851033,,route,power,,132000,,,,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341861719,line,relation/4851033,,route,power,,132000,,,,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851033,,route,power,,132000,,,,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855906,sub_station,relation/4851033,,route,power,,132000,,,,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820718,line,relation/4851034,,route,power,,132000,,,,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820717,line,relation/4851034,,route,power,,132000,,,,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851034,,route,power,,132000,,,,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598390,line,relation/4851034,,route,power,,132000,,,,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598391,sub_station,relation/4851034,,route,power,,132000,,,,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820718,line,relation/4851035,,route,power,,132000,,,,3,single,,,,,
