id,timestamp,version,changeset,user,uid,tags,object_type,member_osmid,member_role,osmid,name,type,power,voltage,substation,line,circuits,cables,wires,operator,operator:wikidata,location,note,wikidata
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342007178,sub_station,relation/4853182,,power,circuit,132000,,,1,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341318697,section,relation/4853310,,power,circuit,132000,,,1,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/137569050,sub_station,relation/4853310,,power,circuit,132000,,,1,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341930677,section,relation/4853310,,power,circuit,132000,,,1,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341930676,section,relation/4853310,,power,circuit,132000,,,1,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/286445650,sub_station,relation/4853310,,power,circuit,132000,,,1,3,single,,,,,
4853311,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341930677,section,relation/4853311,,power,circuit,132000,,,1,3,single,,,,,
4853311,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/286445650,sub_station,relation/4853311,,power,circuit,132000,,,1,3,single,,,,,
4853311,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/309114130,section,relation/4853311,,power,circuit,132000,,,1,3,single,,,,,
4853311,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341318698,section,relation/4853311,,power,circuit,132000,,,1,3,single,,,,,
